Alfred,Morris,RB,2.67
John,Kuhn,RB,2.54
Kenyan,Drake,RB,2.53
Byron,Marshall,RB,2.47
Orleans,Darkwa,RB,2.43
Aaron,Ripkowski,RB,2.35
Marcel,Reece,RB,2.33
Kyle,Juszczyk,RB,2.3
Jonathan,Grimes,RB,2.29
Alex,Collins,RB,2.26
Kenjon,Barner,RB,2.24
Kapri,Bibbs,RB,2.2
Peyton,Barber,RB,2.07
Adrian,Peterson,RB,2
Kenneth,Farrow,RB,1.86
J.D.,McKissic,RB,1.8
Benny,Cunningham,RB,1.75
Akeem,Hunt,RB,1.73
Lance,Dunbar,RB,1.64
Mack,Brown,RB,1.56
Rob,Gronkowski,TE,9
Tyler,Eifert,TE,8.68
Travis,Kelce,TE,8.63
Jordan,Reed,TE,8.55
Delanie,Walker,TE,8.21
Greg,Olsen,TE,7.96
Kyle,Rudolph,TE,7.88
Jimmy,Graham,TE,7.77
Cameron,Brate,TE,7.6
Zach,Ertz,TE,7.54
Zach,Miller,TE,7.26
Martellus,Bennett,TE,7.07
Antonio,Gates,TE,6.77
Eric,Ebron,TE,6.4
Hunter,Henry,TE,6.25
Ladarius,Green,TE,6.07
Julius,Thomas,TE,5.79
Vance,McDonald,TE,5.74
Dwayne,Allen,TE,5.61
Coby,Fleener,TE,5.46
Jack,Doyle,TE,5.4
C.J.,Fiedorowicz,TE,5.33
Charles,Clay,TE,5.28
Jason,Witten,TE,5.21
Dennis,Pitta,TE,5.18
Jacob,Tamme,TE,4.88
Gary,Barnidge,TE,4.7
Vernon,Davis,TE,4.39
Jared,Cook,TE,4.17
Jordan,Cameron,TE,4
Lance,Kendricks,TE,3.74
Clive,Walford,TE,3.59
Dion,Sims,TE,3.54
Ryan,Griffin,TE,3.39
Garrett,Celek,TE,3.38
Jesse,James,TE,3.24
Austin,Hooper,TE,3.22
Jermaine,Gresham,TE,3.19
D.J.,Tialavea,TE,3.05
C.J.,Uzomah,TE,2.94
Will,Tye,TE,2.84
Trey,Burton,TE,2.78
Connor,Hamlett,TE,2.57
Virgil,Green,TE,2.48
Richard,Rodgers,TE,2.44
Levine,Toilolo,TE,2.4
Austin,Seferian-Jenkins,TE,2.38
Josh,Hill,TE,2.32
Daniel,Brown,TE,2.3
Marcedes,Lewis,TE,2.29
Luke,Willson,TE,2.26
Erik,Swoope,TE,2.23
Seth,DeValve,TE,2.06
Demetrius,Harris,TE,2.02
Jace,Amaro,TE,1.97
Mychal,Rivera,TE,1.94
